档位,本期政策,需求满足率,订购率,订足面,订足率(济南),户均条数,下期政策,价位
28,5 ,85%,30%,34%,55%,3.1,2 ,90.10 
27,5 ,95%,23%,37%,59%,3.1,2 ,90.10 
26,5 ,90%,20%,32%,54%,2.9,2 ,90.10 
25,4 ,63%,23%,28%,49%,2.3,2 ,90.10 
24,4 ,34%,16%,21%,40%,2.1,2 ,90.10 
23,4 ,95%,12%,20%,39%,2.0,2 ,90.10 
22,4 ,80%,9%,16%,31%,2.1,2 ,90.10 
21,4 ,95%,7%,15%,33%,1.9,2 ,90.10 
20,3 ,78%,7%,36%,58%,1.9,2 ,90.10 
19,3 ,84%,4%,22%,38%,1.8,2 ,90.10 
18,3 ,90%,4%,20%,38%,1.6,2 ,90.10 
17,3 ,96%,3%,8%,18%,1.4,2 ,90.10 
16,3 ,96%,3%,13%,27%,1.4,2 ,90.10 
15,2 ,52%,5%,64%,79%,1.6,2 ,90.10 
14,2 ,63%,2%,32%,48%,1.3,2 ,90.10 
13,2 ,100%,2%,25%,44%,1.1,2 ,90.10 
12,2 ,100%,1%,40%,67%,1.2,2 ,90.10 
11,2 ,92%,2%,71%,83%,1.7,2 ,90.10 
10,2 ,77%,3%,67%,80%,1.7,2 ,90.10 
9,2 ,100%,4%,67%,80%,1.7,2 ,90.10 
8,2 ,100%,3%,80%,89%,1.8,2 ,90.10 
7,2 ,100%,2%,33%,67%,1.0,2 ,90.10 
6,2 ,63%,3%,20%,40%,1.0,2 ,90.10 
5,1 ,100%,1%,100%,100%,1.0,1 ,90.10 
4,1 ,100%,3%,100%,100%,1.0,1 ,90.10 
3,1 ,20%,2%,50%,100%,0.5,1 ,90.10 
2,1 ,50%,1%,100%,100%,1.0,1 ,90.10 
1,1 ,52%,1%,100%,100%,1.0,1 ,90.10 
30,1 ,100%,17%,100%,100%,1.0,1 ,87.98 
29,1 ,23%,58%,100%,100%,1.0,1 ,87.98 
28,1 ,24%,62%,99%,100%,1.0,1 ,87.98 
27,1 ,28%,55%,100%,100%,1.0,1 ,87.98 
26,1 ,30%,45%,98%,100%,1.0,1 ,87.98 
25,1 ,26%,47%,98%,100%,1.0,1 ,87.98 
24,1 ,20%,35%,100%,100%,1.0,1 ,87.98 
23,1 ,31%,29%,100%,100%,1.0,1 ,87.98 
22,1 ,26%,25%,99%,100%,1.0,1 ,87.98 
21,1 ,13%,19%,98%,100%,1.0,1 ,87.98 
20,1 ,32%,16%,99%,100%,1.0,1 ,87.98 
19,1 ,40%,11%,98%,100%,1.0,1 ,87.98 
18,1 ,33%,9%,98%,100%,1.0,1 ,87.98 
17,1 ,38%,8%,99%,100%,1.0,1 ,87.98 
16,1 ,40%,7%,99%,100%,1.0,1 ,87.98 
15,1 ,23%,7%,98%,100%,1.0,1 ,87.98 
14,1 ,33%,5%,96%,100%,1.0,1 ,87.98 
13,1 ,57%,3%,94%,100%,0.9,1 ,87.98 
12,1 ,57%,2%,100%,100%,1.0,1 ,87.98 
11,1 ,40%,2%,100%,100%,1.0,1 ,87.98 
10,1 ,71%,3%,100%,100%,1.0,1 ,87.98 
9,1 ,33%,3%,100%,100%,1.0,1 ,87.98 
8,1 ,45%,6%,100%,100%,1.0,1 ,87.98 
7,1 ,43%,4%,100%,100%,1.0,1 ,87.98 
6,1 ,57%,5%,89%,100%,0.9,1 ,87.98 
5,1 ,67%,1%,100%,100%,1.0,1 ,87.98 
4,1 ,70%,5%,100%,100%,1.0,1 ,87.98 
3,1 ,33%,3%,75%,100%,0.8,1 ,87.98 
2,1 ,83%,4%,100%,100%,1.0,1 ,87.98 
1,1 ,24%,3%,97%,100%,1.0,1 ,87.98 
30,7 ,100%,33%,0%,0%,2.0,4 ,87.98 
29,7 ,84%,50%,48%,69%,4.9,4 ,87.98 
28,7 ,84%,52%,42%,65%,4.5,4 ,87.98 
27,7 ,93%,51%,38%,61%,4.3,4 ,87.98 
26,7 ,94%,43%,25%,46%,3.7,4 ,87.98 
25,6 ,86%,41%,29%,54%,3.2,4 ,87.98 
24,6 ,56%,36%,24%,47%,3.1,4 ,87.98 
23,6 ,89%,30%,20%,43%,2.8,4 ,87.98 
22,6 ,79%,25%,22%,46%,2.8,4 ,87.98 
21,6 ,93%,22%,18%,41%,2.5,4 ,87.98 
20,4 ,72%,16%,21%,41%,2.0,4 ,87.98 
19,4 ,90%,11%,18%,37%,1.9,4 ,87.98 
18,4 ,71%,9%,20%,43%,1.9,4 ,87.98 
17,4 ,81%,8%,17%,36%,1.8,4 ,87.98 
16,4 ,83%,6%,22%,43%,2.0,4 ,87.98 
15,3 ,54%,8%,43%,62%,2.1,3 ,87.98 
14,3 ,72%,4%,30%,52%,1.7,3 ,87.98 
13,3 ,94%,5%,8%,18%,1.4,3 ,87.98 
12,3 ,90%,5%,18%,34%,1.6,3 ,87.98 
11,3 ,73%,4%,29%,50%,1.8,3 ,87.98 
10,2 ,94%,5%,78%,93%,1.7,2 ,87.98 
9,2 ,80%,6%,30%,50%,1.2,2 ,87.98 
8,2 ,50%,8%,58%,74%,1.6,2 ,87.98 
7,2 ,50%,3%,50%,67%,1.5,2 ,87.98 
6,2 ,70%,4%,33%,57%,1.2,2 ,87.98 
5,1 ,67%,3%,100%,100%,1.0,1 ,87.98 
4,1 ,75%,4%,100%,100%,1.0,1 ,87.98 
3,1 ,33%,5%,100%,100%,1.0,1 ,87.98 
2,1 ,50%,2%,50%,100%,0.5,1 ,87.98 
1,1 ,40%,3%,100%,100%,1.0,1 ,87.98 
30,6 ,100%,33%,50%,86%,3.5,6 ,84.80 
29,6 ,94%,45%,27%,46%,3.5,6 ,84.80 
28,6 ,96%,38%,29%,50%,3.5,6 ,84.80 
27,6 ,87%,33%,17%,36%,2.8,6 ,84.80 
26,6 ,96%,33%,9%,22%,2.5,6 ,84.80 
25,5 ,96%,34%,13%,30%,2.2,5 ,84.80 
24,5 ,83%,27%,16%,34%,2.3,5 ,84.80 
23,5 ,93%,24%,16%,36%,2.2,5 ,84.80 
22,5 ,97%,19%,10%,26%,2.0,5 ,84.80 
21,5 ,96%,15%,11%,28%,2.0,5 ,84.80 
20,3 ,81%,11%,28%,45%,1.9,3 ,84.80 
19,3 ,70%,11%,21%,36%,1.7,3 ,84.80 
18,3 ,94%,7%,23%,41%,1.7,3 ,84.80 
17,3 ,88%,6%,21%,36%,1.7,3 ,84.80 
16,3 ,90%,4%,8%,17%,1.5,3 ,84.80 
15,3 ,72%,7%,22%,39%,1.7,3 ,84.80 
14,3 ,93%,5%,19%,36%,1.6,3 ,84.80 
13,3 ,100%,2%,18%,33%,1.6,3 ,84.80 
12,3 ,100%,3%,8%,20%,1.3,3 ,84.80 
11,3 ,2%,3%,15%,32%,1.5,3 ,84.80 
10,2 ,100%,3%,20%,33%,1.2,2 ,84.80 
9,2 ,53%,3%,60%,75%,1.6,2 ,84.80 
8,2 ,67%,2%,100%,100%,2.0,2 ,84.80 
7,2 ,100%,1%,100%,100%,2.0,2 ,84.80 
6,2 ,83%,4%,67%,80%,1.7,2 ,84.80 
5,2 ,100%,2%,0%,0%,1.0,2 ,84.80 
4,2 ,100%,2%,0%,0%,1.0,2 ,84.80 
3,2 ,43%,3%,50%,67%,1.5,2 ,84.80 
2,2 ,100%,2%,50%,67%,1.5,2 ,84.80 
1,2 ,71%,3%,56%,75%,1.5,2 ,84.80 
30,0 ,0%,0%,-,-,-,0 ,66.78 
29,0 ,8%,11%,100%,100%,3.0,0 ,66.78 
28,0 ,8%,14%,98%,99%,3.0,0 ,66.78 
27,0 ,8%,15%,100%,100%,3.0,0 ,66.78 
26,0 ,7%,11%,100%,100%,3.0,0 ,66.78 
25,0 ,5%,8%,100%,100%,2.9,0 ,66.78 
24,0 ,6%,11%,100%,100%,2.9,0 ,66.78 
23,0 ,3%,6%,100%,100%,2.9,0 ,66.78 
22,0 ,5%,8%,100%,100%,2.9,0 ,66.78 
21,0 ,3%,6%,100%,100%,2.8,0 ,66.78 
20,0 ,3%,4%,98%,100%,2.8,0 ,66.78 
19,0 ,2%,3%,98%,99%,2.8,0 ,66.78 
18,0 ,2%,2%,100%,100%,2.7,0 ,66.78 
17,0 ,2%,2%,100%,100%,2.9,0 ,66.78 
16,0 ,1%,1%,100%,100%,2.3,0 ,66.78 
15,0 ,1%,1%,100%,100%,2.9,0 ,66.78 
14,0 ,0%,0%,100%,100%,3.0,0 ,66.78 
13,0 ,1%,0%,100%,100%,2.0,0 ,66.78 
12,0 ,1%,0%,100%,100%,2.5,0 ,66.78 
11,0 ,1%,1%,100%,100%,2.7,0 ,66.78 
10,0 ,1%,1%,100%,100%,2.0,0 ,66.78 
9,0 ,0%,0%,-,-,-,0 ,66.78 
8,0 ,2%,1%,100%,100%,3.0,0 ,66.78 
7,0 ,0%,0%,-,-,-,0 ,66.78 
6,0 ,1%,1%,100%,100%,1.0,0 ,66.78 
5,0 ,0%,0%,-,-,-,0 ,66.78 
4,0 ,0%,0%,-,-,-,0 ,66.78 
3,0 ,0%,0%,-,-,-,0 ,66.78 
2,0 ,3%,1%,100%,100%,3.0,0 ,66.78 
1,0 ,1%,0%,100%,100%,2.0,0 ,66.78 
