品规ID,档位,订足面,订足率,订单满足率,订购率,上期策略,总户数,订购量,需求量,投放量,品规名
6901028053440,六档,1,1,1,0.004329004,1,924,4,4,4,玉溪(高配版)
6901028053440,五档,0.75,0.75,0.6,0.004464286,1,896,3,5,4,玉溪(高配版)
6901028053471,二十九档,0.899082569,0.589449541,0.917857143,0.165151515,4,660,257,280,436,玉溪(细支初心)
6901028053471,二十五档,1,0.5,1,0.076923077,3,78,9,9,18,玉溪(细支初心)
6901028053471,二十七档,0.911111111,0.644444444,0.828571429,0.130813953,3,344,87,105,135,玉溪(细支初心)
6901028053471,二十六档,0.978494624,0.605734767,0.971264368,0.13880597,3,670,169,174,279,玉溪(细支初心)
6901028053471,二十一档,0.935897436,0.717948718,0.925619835,0.101167315,2,771,112,121,156,玉溪(细支初心)
6901028053471,二十八档,0.925925926,0.546296296,0.967213115,0.165644172,4,326,118,122,216,玉溪(细支初心)
6901028053471,二十三档,0.944444444,0.819444444,0.944,0.108108108,2,666,118,125,144,玉溪(细支初心)
6901028053471,二十二档,0.927536232,0.753623188,0.825396825,0.091029024,2,758,104,126,138,玉溪(细支初心)
6901028053471,三十档,0.905882353,0.670588235,0.857142857,0.172413793,4,493,228,266,340,玉溪(细支初心)
6901028053471,一档,1,1,1,0.000785546,1,2546,2,2,2,玉溪(细支初心)
6901028053471,十六档,0.842105263,0.535087719,0.847222222,0.029215787,2,1951,61,72,114,玉溪(细支初心)
6901028053471,十五档,0.860465116,1.023255814,0.862745098,0.022360894,1,1923,44,51,43,玉溪(细支初心)
6901028053471,十四档,0.772727273,1,0.75862069,0.02054155,1,1071,22,29,22,玉溪(细支初心)
6901028053471,十三档,0.9375,1,0.941176471,0.016806723,1,1904,32,34,32,玉溪(细支初心)
6901028053471,二十四档,0.951807229,0.542168675,0.84375,0.137417219,3,604,135,160,249,玉溪(细支初心)
6901028053471,八档,1,1,1,0.009424084,1,955,9,9,9,玉溪(细支初心)
6901028053471,七档,0.6,0.9,0.692307692,0.009861933,1,1014,9,13,10,玉溪(细支初心)
6901028053471,六档,0.5,1,0.5,0.006493506,1,924,6,12,6,玉溪(细支初心)
6901028053471,五档,0.8,1,0.833333333,0.005580357,1,896,5,6,5,玉溪(细支初心)
6901028053471,四档,1,1,1,0.003605769,1,832,3,3,3,玉溪(细支初心)
6901028053471,三档,0.857142857,1,0.7,0.009345794,1,749,7,10,7,玉溪(细支初心)
6901028053471,二档,1,1,1,0.004792332,1,626,3,3,3,玉溪(细支初心)
6901028053471,十七档,0.904761905,0.541666667,0.883495146,0.051628765,2,1627,91,103,168,玉溪(细支初心)
6901028053471,十二档,0.761904762,1,0.256097561,0.014305177,1,1468,21,82,21,玉溪(细支初心)
6901028053471,十一档,0.941176471,1,0.944444444,0.010671689,1,1593,17,18,17,玉溪(细支初心)
6901028053471,十档,0.75,0.875,0.777777778,0.009512485,1,841,7,9,8,玉溪(细支初心)
6901028053471,九档,0.833333333,1,0.857142857,0.006896552,1,870,6,7,6,玉溪(细支初心)
6901028053471,二十档,0.901234568,0.685185185,0.917355372,0.071491615,2,1133,111,121,162,玉溪(细支初心)
6901028053471,十九档,0.866666667,0.708333333,0.794392523,0.055452865,2,1082,85,107,120,玉溪(细支初心)
6901028053471,十八档,0.911392405,0.620253165,0.924528302,0.059577677,2,1326,98,106,158,玉溪(细支初心)
6901028053594,二十九档,0.829787234,0.946808511,0.664179104,0.071212121,2,660,89,134,94,玉溪(软初心)
6901028053594,二十八档,0.958333333,0.854166667,0.931818182,0.073619632,2,326,41,44,48,玉溪(软初心)
6901028053594,八档,1,1,1,0.002094241,1,955,2,2,2,玉溪(软初心)
6901028053594,七档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028053594,二十七档,0.833333333,0.791666667,0.678571429,0.034883721,2,344,19,28,24,玉溪(软初心)
6901028053594,九档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028053594,三十档,0.849056604,0.886792453,0.862385321,0.107505071,2,493,94,109,106,玉溪(软初心)
6901028053594,十六档,1,0.571428571,1,0.003587904,2,1951,8,8,14,玉溪(软初心)
6901028053594,十五档,0.909090909,0.5,0.916666667,0.005720229,2,1923,11,12,22,玉溪(软初心)
6901028053594,十四档,0.5,0.5,0.666666667,0.001867414,2,1071,2,3,4,玉溪(软初心)
6901028053594,十三档,0.909090909,0.590909091,0.928571429,0.005777311,2,1904,13,14,22,玉溪(软初心)
6901028053594,十二档,1,0.55,1,0.006811989,2,1468,11,11,20,玉溪(软初心)
6901028053594,十一档,1,0.5,1,0.001255493,2,1593,2,2,4,玉溪(软初心)
6901028053594,十档,1,1,1,0.001189061,1,841,1,1,1,玉溪(软初心)
6901028053594,二十三档,1,0.782608696,1,0.034534535,2,666,36,36,46,玉溪(软初心)
6901028053594,二十二档,1,0.840909091,1,0.029023747,2,758,37,37,44,玉溪(软初心)
6901028053594,二十一档,0.833333333,0.666666667,0.888888889,0.023346304,2,771,24,27,36,玉溪(软初心)
6901028053594,二十档,1,0.706896552,1,0.025595763,2,1133,41,41,58,玉溪(软初心)
6901028053594,十九档,0.894736842,0.710526316,0.710526316,0.017560074,2,1082,27,38,38,玉溪(软初心)
6901028053594,十八档,1,0.545454545,1,0.008295626,2,1326,12,12,22,玉溪(软初心)
6901028053594,十七档,1,0.605263158,1,0.011677935,2,1627,23,23,38,玉溪(软初心)
6901028053594,四档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028053594,三档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028053594,二档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028053594,二十六档,0.964285714,0.732142857,0.931818182,0.041791045,2,670,41,44,56,玉溪(软初心)
6901028053594,二十五档,1,1,1,0.025641026,2,78,4,4,4,玉溪(软初心)
6901028053594,二十四档,0.947368421,0.842105263,0.941176471,0.031456954,2,604,32,34,38,玉溪(软初心)
6901028053594,六档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028053594,五档,1,1,1,0.002232143,1,896,2,2,2,玉溪(软初心)
6901028053594,一档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(软初心)
6901028054447,三十档,0.789473684,0.866666667,0.771875,0.192697769,3,493,247,320,285,玉溪(细支清香世家)
6901028054447,九档,0.857142857,1,0.875,0.008045977,1,870,7,8,7,玉溪(细支清香世家)
6901028054447,二十九档,0.917355372,0.749311295,0.912751678,0.183333333,3,660,272,298,363,玉溪(细支清香世家)
6901028054447,二十八档,0.918918919,0.585585586,0.902777778,0.113496933,3,326,65,72,111,玉溪(细支清香世家)
6901028054447,二十七档,0.885245902,0.87704918,0.849206349,0.177325581,2,344,107,126,122,玉溪(细支清香世家)
6901028054447,十八档,0.916666667,0.741666667,0.898989899,0.045248869,2,1326,89,99,120,玉溪(细支清香世家)
6901028054447,十七档,0.854545455,0.681818182,0.842696629,0.033804548,2,1627,75,89,110,玉溪(细支清香世家)
6901028054447,十六档,0.893939394,0.651515152,0.728813559,0.033828806,2,1951,86,118,132,玉溪(细支清香世家)
6901028054447,十五档,0.857142857,0.595238095,0.847457627,0.021840874,2,1923,50,59,84,玉溪(细支清香世家)
6901028054447,十四档,1,0.586956522,1,0.021475257,2,1071,27,27,46,玉溪(细支清香世家)
6901028054447,十三档,0.88,0.5,0.892857143,0.013130252,2,1904,25,28,50,玉溪(细支清香世家)
6901028054447,十二档,0.666666667,1,0.705882353,0.008174387,1,1468,12,17,12,玉溪(细支清香世家)
