,品规ID,品规名,三十档,二十九档,二十八档,二十七档,二十六档,二十五档,二十四档,二十三档,二十二档,二十一档,二十档,十九档,十八档,十七档,十六档,十五档,十四档,十三档,十二档,十一档,十档,九档,八档,七档,六档,五档,四档,三档,二档,一档
39,6901028054898,玉溪(创客),6,4,4,5,4,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,1,4,1,1,1,1,1,0,0,0
40,6901028053471,玉溪(细支初心),6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,6901028054447,玉溪(细支清香世家),9,6,4,6,4,3,3,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
42,6901028317177,玉溪(软),22,20,18,16,14,13,11,10,9,8,7,6,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2
43,6901028053594,玉溪(软初心),7,8,5,6,3,4,3,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6901028053082,玉溪(软阿诗玛),7,4,4,2,3,2,2,2,2,1,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
45,6901028053440,玉溪(高配版),5,5,4,3,3,5,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
46,6901028196932,白沙(和天下),0,1,0,5,5,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,6901028193504,芙蓉王(硬),7,6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1
48,6901028201728,芙蓉王(硬细支),7,7,7,5,5,1,3,3,2,1,5,5,3,3,3,2,2,2,2,1,1,1,2,1,2,3,3,3,3,3
49,6901028062015,苏烟(五星红杉树),11,10,8,7,5,7,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
50,6901028116190,苏烟(沉香),1,0,1,0,0,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6901028114455,苏烟(软金砂),9,6,6,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1
52,6901028221542,贵烟(萃),10,7,6,5,4,4,3,3,3,3,2,2,2,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
53,6901028221450,贵烟(跨越),9,7,6,6,4,4,3,2,3,1,1,2,2,2,2,1,2,0,0,1,0,0,0,0,0,4,3,0,0,0
54,6901028221603,贵烟(魔力),3,0,1,0,1,0,4,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
