档位,本期政策,需求满足率,订购率,订足面,订足率（中烟）,订足率(济南),户均条数,下期政策,价位,是否省内
14,0,0.00 ,0.00 ,-,0.00 ,-,-,1,201.4,1
13,0,0.00 ,0.00 ,-,0.00 ,-,-,1,201.4,1
12,0,0.00 ,0.00 ,-,0.00 ,-,-,1,201.4,1
11,0,0.00 ,0.00 ,-,0.00 ,-,-,1,201.4,1
10,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
9,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
8,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
7,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
6,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
5,0,-,0.00 ,-,0.00 ,-,-,0,201.4,1
4,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
3,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
2,0,-,0.00 ,-,0.00 ,-,-,0,201.4,1
1,0,0.00 ,0.00 ,-,0.00 ,-,-,0,201.4,1
30,9,1.00 ,0.33 ,1.00 ,0.33 ,1.00 ,9,9,190.8,1
29,8,0.94 ,0.47 ,0.36 ,0.29 ,0.58 ,5,8,190.8,1
28,8,0.99 ,0.37 ,0.15 ,0.17 ,0.32 ,3.6,8,190.8,1
27,7,0.99 ,0.25 ,0.10 ,0.10 ,0.26 ,2.8,7,190.8,1
26,7,0.95 ,0.25 ,0.08 ,0.10 ,0.20 ,2.7,7,190.8,1
25,6,0.96 ,0.21 ,0.10 ,0.08 ,0.25 ,2.4,6,190.8,1
24,6,0.98 ,0.20 ,0.08 ,0.07 ,0.21 ,2.2,6,190.8,1
23,5,0.74 ,0.14 ,0.11 ,0.06 ,0.26 ,2.1,5,190.8,1
22,4,0.67 ,0.11 ,0.14 ,0.05 ,0.31 ,1.9,4,190.8,1
21,4,0.97 ,0.08 ,0.12 ,0.03 ,0.29 ,1.6,4,190.8,1
20,3,0.97 ,0.06 ,0.12 ,0.03 ,0.23 ,1.6,3,190.8,1
19,3,0.94 ,0.06 ,0.21 ,0.03 ,0.39 ,1.6,3,190.8,1
18,3,0.91 ,0.06 ,0.26 ,0.03 ,0.44 ,1.8,3,190.8,1
17,3,0.86 ,0.03 ,0.18 ,0.02 ,0.35 ,1.5,3,190.8,1
16,3,0.95 ,0.02 ,0.13 ,0.01 ,0.26 ,1.5,3,190.8,1
15,3,0.87 ,0.04 ,0.31 ,0.02 ,0.52 ,1.8,3,190.8,1
14,2,0.93 ,0.03 ,0.34 ,0.02 ,0.51 ,1.3,2,190.8,1
13,2,0.92 ,0.03 ,0.64 ,0.02 ,0.78 ,1.6,2,190.8,1
12,2,1.00 ,0.01 ,0.40 ,0.01 ,0.57 ,1.4,2,190.8,1
11,2,0.67 ,0.01 ,0.33 ,0.01 ,0.50 ,1.3,2,190.8,1
10,1,0.77 ,0.05 ,1.00 ,0.05 ,1.00 ,1,1,190.8,1
9,1,1.00 ,0.02 ,0.75 ,0.02 ,1.00 ,0.8,1,190.8,1
8,1,0.63 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,190.8,1
7,1,1.00 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,190.8,1
6,1,1.00 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,190.8,1
5,1,1.00 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,190.8,1
4,1,0.67 ,0.05 ,0.86 ,0.04 ,1.00 ,0.9,1,190.8,1
3,1,0.67 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,190.8,1
2,1,0.53 ,0.07 ,1.00 ,0.07 ,1.00 ,1,1,190.8,1
1,1,0.47 ,0.04 ,0.96 ,0.04 ,1.00 ,1,1,190.8,1
30,3,1.00 ,0.50 ,1.00 ,0.50 ,1.00 ,3,4,188.68,1
29,2,0.82 ,0.34 ,0.93 ,0.33 ,0.97 ,1.9,3,188.68,1
28,1,0.31 ,0.23 ,1.00 ,0.23 ,1.00 ,1,2,188.68,1
27,1,0.54 ,0.17 ,0.99 ,0.16 ,1.00 ,1,2,188.68,1
26,1,0.58 ,0.11 ,0.98 ,0.11 ,1.00 ,1,1,188.68,1
25,1,0.66 ,0.11 ,0.98 ,0.11 ,1.00 ,1,1,188.68,1
24,1,0.60 ,0.10 ,0.96 ,0.09 ,1.00 ,1,1,188.68,1
23,0,0.00 ,0.00 ,-,0.00 ,-,-,1,188.68,1
22,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
21,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
20,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
19,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
18,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
17,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
16,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
15,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
14,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
13,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
12,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
11,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
10,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
9,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
8,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
7,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
6,0,-,0.00 ,-,0.00 ,-,-,0,188.68,1
5,0,-,0.00 ,-,0.00 ,-,-,0,188.68,1
4,0,-,0.00 ,-,0.00 ,-,-,0,188.68,1
3,0,-,0.00 ,-,0.00 ,-,-,0,188.68,1
2,0,-,0.00 ,-,0.00 ,-,-,0,188.68,1
1,0,0.00 ,0.00 ,-,0.00 ,-,-,0,188.68,1
30,6,1.00 ,0.17 ,1.00 ,0.17 ,1.00 ,6,4,185.5,1
29,5,0.79 ,0.30 ,0.54 ,0.22 ,0.73 ,3.7,4,185.5,1
28,5,0.93 ,0.19 ,0.28 ,0.11 ,0.49 ,2.9,4,185.5,1
27,4,0.95 ,0.14 ,0.35 ,0.09 ,0.54 ,2.6,4,185.5,1
26,4,0.94 ,0.11 ,0.23 ,0.06 ,0.40 ,2.3,4,185.5,1
25,3,0.96 ,0.11 ,0.42 ,0.08 ,0.60 ,2.1,3,185.5,1
24,3,0.92 ,0.08 ,0.33 ,0.05 ,0.53 ,1.9,3,185.5,1
23,3,0.56 ,0.06 ,0.34 ,0.04 ,0.53 ,1.9,3,185.5,1
22,3,0.95 ,0.03 ,0.24 ,0.02 ,0.39 ,1.9,3,185.5,1
21,3,0.96 ,0.03 ,0.19 ,0.02 ,0.32 ,1.8,3,185.5,1
20,1,0.68 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,185.5,1
19,1,0.52 ,0.02 ,0.97 ,0.02 ,1.00 ,1,1,185.5,1
18,1,0.55 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,185.5,1
17,1,0.45 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
16,1,0.43 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
15,1,0.62 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,185.5,1
14,1,0.43 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
13,1,0.67 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
12,1,0.75 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
11,1,1.00 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
10,1,1.00 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
9,1,0.43 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,185.5,1
8,1,0.75 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,185.5,1
7,1,0.50 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
6,1,0.43 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,185.5,1
5,1,-,0.00 ,-,0.00 ,-,-,1,185.5,1
4,1,1.00 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
3,1,-,0.00 ,-,0.00 ,-,-,1,185.5,1
2,1,1.00 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,185.5,1
1,1,0.68 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,185.5,1
30,9,1.00 ,0.33 ,1.00 ,0.33 ,1.00 ,9,9,167.48,1
29,7,0.92 ,0.48 ,0.34 ,0.30 ,0.53 ,4.5,7,167.48,1
28,7,0.98 ,0.40 ,0.13 ,0.20 ,0.27 ,3.4,7,167.48,1
27,6,0.98 ,0.35 ,0.19 ,0.19 ,0.37 ,3.1,6,167.48,1
26,6,0.92 ,0.27 ,0.15 ,0.12 ,0.34 ,2.6,6,167.48,1
25,5,0.97 ,0.30 ,0.16 ,0.15 ,0.32 ,2.5,5,167.48,1
24,5,0.46 ,0.23 ,0.14 ,0.10 ,0.31 ,2.3,5,167.48,1
23,5,0.97 ,0.20 ,0.15 ,0.09 ,0.34 ,2.2,5,167.48,1
22,5,0.97 ,0.13 ,0.07 ,0.05 ,0.18 ,1.9,5,167.48,1
21,5,1.00 ,0.12 ,0.05 ,0.04 ,0.13 ,1.7,5,167.48,1
20,3,0.85 ,0.10 ,0.17 ,0.05 ,0.31 ,1.6,3,167.48,1
19,3,0.69 ,0.08 ,0.20 ,0.04 ,0.36 ,1.6,3,167.48,1
18,3,0.92 ,0.07 ,0.22 ,0.04 ,0.39 ,1.7,3,167.48,1
17,3,0.91 ,0.05 ,0.13 ,0.03 ,0.25 ,1.5,3,167.48,1
16,3,0.85 ,0.03 ,0.14 ,0.02 ,0.29 ,1.5,3,167.48,1
15,3,0.84 ,0.05 ,0.39 ,0.03 ,0.61 ,1.9,3,167.48,1
14,3,0.94 ,0.04 ,0.19 ,0.02 ,0.36 ,1.6,3,167.48,1
13,3,1.00 ,0.03 ,0.17 ,0.02 ,0.31 ,1.6,3,167.48,1
12,3,1.00 ,0.01 ,0.14 ,0.01 ,0.30 ,1.4,3,167.48,1
11,3,1.00 ,0.04 ,0.00 ,0.01 ,0.00 ,1.1,3,167.48,1
10,2,0.89 ,0.05 ,0.78 ,0.04 ,0.88 ,1.8,2,167.48,1
9,2,0.73 ,0.04 ,0.57 ,0.03 ,0.73 ,1.6,2,167.48,1
8,2,0.85 ,0.06 ,0.70 ,0.05 ,0.82 ,1.7,2,167.48,1
7,2,1.00 ,0.01 ,1.00 ,0.01 ,1.00 ,2,2,167.48,1
6,2,1.00 ,0.02 ,0.25 ,0.01 ,0.40 ,1.3,2,167.48,1
5,2,1.00 ,0.01 ,0.00 ,0.01 ,0.00 ,1,2,167.48,1
4,2,1.00 ,0.03 ,0.25 ,0.02 ,0.40 ,1.3,2,167.48,1
3,2,1.00 ,0.03 ,0.25 ,0.02 ,0.40 ,1.3,2,167.48,1
2,2,0.79 ,0.05 ,0.83 ,0.05 ,0.91 ,1.8,2,167.48,1
1,2,0.88 ,0.04 ,0.67 ,0.03 ,0.80 ,1.7,2,167.48,1
30,6,1.00 ,0.17 ,1.00 ,0.17 ,1.00 ,6,6,167.48,1
29,5,0.93 ,0.31 ,0.43 ,0.20 ,0.65 ,3.3,5,167.48,1
28,4,0.93 ,0.21 ,0.37 ,0.14 ,0.57 ,2.6,4,167.48,1
27,4,0.87 ,0.17 ,0.24 ,0.09 ,0.44 ,2.1,4,167.48,1
26,4,0.97 ,0.16 ,0.23 ,0.09 ,0.40 ,2.3,4,167.48,1
25,4,0.90 ,0.12 ,0.17 ,0.06 ,0.37 ,1.8,4,167.48,1
24,4,0.64 ,0.11 ,0.15 ,0.05 ,0.32 ,1.9,4,167.48,1
23,4,0.95 ,0.09 ,0.12 ,0.04 ,0.27 ,1.8,4,167.48,1
22,3,0.94 ,0.06 ,0.13 ,0.03 ,0.26 ,1.5,3,167.48,1
21,3,0.96 ,0.04 ,0.15 ,0.02 ,0.31 ,1.4,3,167.48,1
20,3,0.97 ,0.04 ,0.19 ,0.02 ,0.33 ,1.7,3,167.48,1
19,3,0.96 ,0.03 ,0.23 ,0.01 ,0.45 ,1.5,3,167.48,1
18,3,0.90 ,0.03 ,0.35 ,0.02 ,0.60 ,1.8,3,167.48,1
17,3,1.00 ,0.01 ,0.00 ,0.00 ,0.00 ,1,3,167.48,1
16,3,0.66 ,0.02 ,0.21 ,0.01 ,0.41 ,1.5,3,167.48,1
15,2,0.85 ,0.02 ,0.46 ,0.02 ,0.63 ,1.5,2,167.48,1
14,2,0.93 ,0.02 ,0.56 ,0.01 ,0.74 ,1.5,2,167.48,1
13,2,0.67 ,0.01 ,1.00 ,0.01 ,1.00 ,2,2,167.48,1
12,2,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1,2,167.48,1
11,2,1.00 ,0.01 ,0.50 ,0.01 ,0.67 ,1.5,2,167.48,1
10,1,0.83 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,167.48,1
9,1,0.25 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,167.48,1
8,1,0.67 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,167.48,1
7,1,0.50 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,167.48,1
6,1,-,0.00 ,-,0.00 ,-,-,1,167.48,1
5,1,-,0.00 ,-,0.00 ,-,-,1,167.48,1
4,1,-,0.00 ,-,0.00 ,-,-,1,167.48,1
3,1,-,0.00 ,-,0.00 ,-,-,1,167.48,1
2,1,0.67 ,0.02 ,1.00 ,0.02 ,1.00 ,1,1,167.48,1
1,1,0.42 ,0.01 ,1.00 ,0.01 ,1.00 ,1,1,167.48,1
30,2,1.00 ,0.33 ,0.50 ,0.25 ,0.67 ,1.5,2,129.3,1
29,2,0.66 ,0.21 ,0.83 ,0.19 ,0.91 ,1.8,2,129.3,1
28,1,0.35 ,0.14 ,1.00 ,0.14 ,1.00 ,1,1,129.3,1
27,1,0.56 ,0.10 ,1.00 ,0.10 ,1.00 ,1,1,129.3,1
26,1,0.60 ,0.11 ,1.00 ,0.11 ,1.00 ,1,1,129.3,1
25,1,0.71 ,0.09 ,1.00 ,0.09 ,1.00 ,1,1,129.3,1
24,1,0.38 ,0.09 ,1.00 ,0.09 ,1.00 ,1,1,129.3,1
23,1,0.67 ,0.07 ,0.99 ,0.07 ,1.00 ,1,1,129.3,1
22,1,0.76 ,0.07 ,0.97 ,0.07 ,1.00 ,1,1,129.3,1
21,1,0.80 ,0.03 ,0.97 ,0.03 ,1.00 ,1,1,129.3,1
20,1,0.05 ,0.04 ,1.00 ,0.04 ,1.00 ,1,1,129.3,1
19,1,0.71 ,0.03 ,0.98 ,0.03 ,1.00 ,1,1,129.3,1
18,1,0.85 ,0.03 ,0.97 ,0.03 ,1.00 ,1,1,129.3,1
17,1,0.86 ,0.03 ,1.00 ,0.03 ,1.00 ,1,1,129.3,1
16,1,0.87 ,0.03 ,0.96 ,0.02 ,1.00 ,1,1,129.3,1
15,0,0.00 ,0.00 ,-,0.00 ,-,-,1,129.3,1
14,0,0.00 ,0.00 ,-,0.00 ,-,-,1,129.3,1
13,0,0.00 ,0.00 ,-,0.00 ,-,-,1,129.3,1
12,0,0.00 ,0.00 ,-,0.00 ,-,-,1,129.3,1
11,0,0.00 ,0.00 ,-,0.00 ,-,-,1,129.3,1
10,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
9,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
8,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
7,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
6,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
5,0,-,0.00 ,-,0.00 ,-,-,0,129.3,1
4,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
3,0,-,0.00 ,-,0.00 ,-,-,0,129.3,1
2,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
1,0,0.00 ,0.00 ,-,0.00 ,-,-,0,129.3,1
30,10,1.00 ,0.67 ,0.75 ,0.58 ,0.86 ,8.8,12,139.92,1
29,8,0.83 ,0.79 ,0.68 ,0.68 ,0.80 ,6.8,11,139.92,1
28,8,0.86 ,0.66 ,0.67 ,0.42 ,0.78 ,5.1,11,139.92,1
27,7,0.78 ,0.62 ,0.53 ,0.41 ,0.70 ,4.6,10,139.92,1
26,7,0.92 ,0.56 ,0.58 ,0.31 ,0.74 ,3.9,9,139.92,1
25,6,0.91 ,0.49 ,0.47 ,0.28 ,0.67 ,3.5,9,139.92,1
24,6,0.82 ,0.44 ,0.34 ,0.23 ,0.53 ,3.2,8,139.92,1
23,6,0.92 ,0.33 ,0.33 ,0.16 ,0.56 ,3,8,139.92,1
22,5,0.90 ,0.28 ,0.25 ,0.15 ,0.46 ,2.7,7,139.92,1
21,5,0.97 ,0.21 ,0.18 ,0.10 ,0.38 ,2.4,7,139.92,1
20,5,0.87 ,0.17 ,0.19 ,0.09 ,0.39 ,2.5,7,139.92,1
19,5,0.88 ,0.14 ,0.13 ,0.06 ,0.29 ,2.1,7,139.92,1
18,5,0.98 ,0.14 ,0.19 ,0.06 ,0.42 ,2.3,7,139.92,1
17,4,0.92 ,0.10 ,0.20 ,0.05 ,0.39 ,2.1,6,139.92,1
16,4,0.92 ,0.08 ,0.18 ,0.04 ,0.34 ,2.2,6,139.92,1
15,4,0.82 ,0.08 ,0.31 ,0.05 ,0.54 ,2.3,6,139.92,1
14,4,0.95 ,0.07 ,0.13 ,0.03 ,0.28 ,1.8,6,139.92,1
13,4,0.94 ,0.06 ,0.12 ,0.03 ,0.26 ,1.9,6,139.92,1
12,3,1.00 ,0.03 ,0.19 ,0.02 ,0.31 ,1.8,5,139.92,1
11,3,1.00 ,0.04 ,0.35 ,0.03 ,0.53 ,2,5,139.92,1
10,3,0.97 ,0.08 ,0.25 ,0.05 ,0.39 ,1.9,3,139.92,1
9,3,0.82 ,0.08 ,0.29 ,0.05 ,0.44 ,1.9,3,139.92,1
8,3,0.83 ,0.13 ,0.30 ,0.08 ,0.47 ,1.9,3,139.92,1
7,2,0.67 ,0.03 ,0.60 ,0.03 ,0.75 ,1.6,2,139.92,1
6,2,0.87 ,0.09 ,0.73 ,0.08 ,0.85 ,1.7,2,139.92,1
5,2,0.20 ,0.06 ,1.00 ,0.06 ,1.00 ,2,2,139.92,1
4,2,0.96 ,0.12 ,0.59 ,0.09 ,0.74 ,1.6,2,139.92,1
3,2,1.00 ,0.03 ,0.33 ,0.01 ,0.67 ,1,2,139.92,1
2,2,1.00 ,0.08 ,0.78 ,0.07 ,0.88 ,1.8,2,139.92,1
1,2,0.57 ,0.07 ,0.61 ,0.06 ,0.76 ,1.6,2,139.92,1
30,10,1.00 ,0.67 ,0.75 ,0.58 ,0.86 ,8.8,12,129.3,1
29,8,0.84 ,0.67 ,0.62 ,0.55 ,0.77 ,6.5,11,129.3,1
28,6,0.87 ,0.59 ,0.60 ,0.47 ,0.76 ,4.8,9,129.3,1
27,6,0.89 ,0.49 ,0.43 ,0.34 ,0.62 ,4.2,8,129.3,1
26,5,0.89 ,0.44 ,0.42 ,0.31 ,0.60 ,3.5,7,129.3,1
25,5,0.92 ,0.44 ,0.35 ,0.27 ,0.56 ,3.1,7,129.3,1
24,5,0.80 ,0.37 ,0.30 ,0.22 ,0.51 ,2.9,7,129.3,1
23,5,0.87 ,0.29 ,0.20 ,0.15 ,0.40 ,2.6,7,129.3,1
22,5,0.95 ,0.25 ,0.19 ,0.12 ,0.38 ,2.5,7,129.3,1
21,5,0.90 ,0.21 ,0.12 ,0.09 ,0.28 ,2.1,7,129.3,1
20,5,0.97 ,0.19 ,0.11 ,0.08 ,0.27 ,2.1,7,129.3,1
19,5,0.97 ,0.13 ,0.09 ,0.05 ,0.24 ,1.9,7,129.3,1
18,5,0.75 ,0.12 ,0.22 ,0.06 ,0.45 ,2.4,7,129.3,1
17,4,0.88 ,0.09 ,0.20 ,0.04 ,0.41 ,2,6,129.3,1
16,4,0.93 ,0.07 ,0.23 ,0.03 ,0.46 ,2,6,129.3,1
15,4,0.82 ,0.10 ,0.23 ,0.05 ,0.45 ,2.1,6,129.3,1
14,4,0.99 ,0.06 ,0.16 ,0.03 ,0.38 ,1.7,6,129.3,1
13,4,1.00 ,0.02 ,0.23 ,0.01 ,0.46 ,2,6,129.3,1
12,3,0.91 ,0.04 ,0.16 ,0.02 ,0.29 ,1.6,5,129.3,1
11,3,0.91 ,0.05 ,0.24 ,0.03 ,0.37 ,2,5,129.3,1
10,3,1.00 ,0.05 ,0.50 ,0.04 ,0.68 ,2.2,3,129.3,1
9,3,0.90 ,0.08 ,0.38 ,0.05 ,0.56 ,2.1,3,129.3,1
8,3,0.90 ,0.05 ,0.38 ,0.04 ,0.50 ,2.3,3,129.3,1
7,2,0.86 ,0.06 ,0.80 ,0.06 ,0.89 ,1.8,2,129.3,1
6,2,0.83 ,0.07 ,0.58 ,0.06 ,0.74 ,1.6,2,129.3,1
5,2,1.00 ,0.01 ,0.00 ,0.01 ,0.00 ,1,2,129.3,1
4,2,0.74 ,0.08 ,0.67 ,0.07 ,0.80 ,1.7,2,129.3,1
3,2,1.00 ,0.02 ,0.50 ,0.01 ,0.67 ,1.5,2,129.3,1
2,2,1.00 ,0.06 ,0.14 ,0.04 ,0.25 ,1.1,2,129.3,1
1,2,0.83 ,0.05 ,0.64 ,0.04 ,0.80 ,1.6,2,129.3,1
30,6,1.00 ,0.50 ,0.33 ,0.25 ,0.67 ,3,5,102.82,1
29,6,0.96 ,0.34 ,0.42 ,0.22 ,0.64 ,3.9,5,102.82,1
28,4,0.90 ,0.26 ,0.47 ,0.19 ,0.66 ,2.8,4,102.82,1
27,4,0.70 ,0.21 ,0.46 ,0.14 ,0.67 ,2.7,4,102.82,1
26,4,0.94 ,0.13 ,0.29 ,0.08 ,0.50 ,2.3,3,102.82,1
25,3,0.92 ,0.14 ,0.39 ,0.10 ,0.58 ,2,3,102.82,1
24,3,0.74 ,0.13 ,0.44 ,0.10 ,0.62 ,2.1,3,102.82,1
23,3,0.76 ,0.09 ,0.34 ,0.05 ,0.54 ,1.9,2,102.82,1
22,3,0.84 ,0.08 ,0.38 ,0.05 ,0.60 ,1.9,2,102.82,1
21,3,0.85 ,0.06 ,0.33 ,0.04 ,0.55 ,1.8,2,102.82,1
20,2,0.75 ,0.04 ,0.58 ,0.03 ,0.74 ,1.6,0,102.82,1
19,2,0.84 ,0.03 ,0.71 ,0.02 ,0.83 ,1.7,0,102.82,1
18,2,0.94 ,0.02 ,0.67 ,0.02 ,0.85 ,1.6,0,102.82,1
17,1,0.64 ,0.01 ,0.93 ,0.01 ,1.00 ,0.9,0,102.82,1
16,1,0.35 ,0.01 ,0.92 ,0.01 ,1.00 ,0.9,0,102.82,1
15,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
14,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
13,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
12,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
11,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
10,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
9,0,-,0.00 ,-,0.00 ,-,-,0,102.82,1
8,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
7,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
6,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
5,0,-,0.00 ,-,0.00 ,-,-,0,102.82,1
4,0,-,0.00 ,-,0.00 ,-,-,0,102.82,1
3,0,-,0.00 ,-,0.00 ,-,-,0,102.82,1
2,0,-,0.00 ,-,0.00 ,-,-,0,102.82,1
1,0,0.00 ,0.00 ,-,0.00 ,-,-,0,102.82,1
30,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
29,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
28,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
27,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
26,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
25,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
24,2,0.86 ,0.06 ,0.67 ,0.05 ,0.82 ,1.6,0,139.92,1
23,2,0.75 ,0.06 ,0.65 ,0.05 ,0.79 ,1.6,0,139.92,1
22,2,0.86 ,0.04 ,0.61 ,0.03 ,0.75 ,1.6,0,139.92,1
21,2,0.98 ,0.03 ,0.45 ,0.02 ,0.65 ,1.4,0,139.92,1
20,2,0.84 ,0.03 ,0.56 ,0.03 ,0.72 ,1.6,0,139.92,1
19,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
18,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
17,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
16,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
15,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
14,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
13,0,-,0.00 ,-,0.00 ,-,-,0,139.92,1
12,0,-,0.00 ,-,0.00 ,-,-,0,139.92,1
11,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
10,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
9,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
8,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
7,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
6,0,-,0.00 ,-,0.00 ,-,-,0,139.92,1
5,0,-,0.00 ,-,0.00 ,-,-,0,139.92,1
4,0,-,0.00 ,-,0.00 ,-,-,0,139.92,1
3,0,-,0.00 ,-,0.00 ,-,-,0,139.92,1
2,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
1,0,0.00 ,0.00 ,-,0.00 ,-,-,0,139.92,1
30,0,0.00 ,0.00 ,-,0.00 ,-,-,3,121.9,1
29,0,0.00 ,0.00 ,-,0.00 ,-,-,3,121.9,1
28,0,0.00 ,0.00 ,-,0.00 ,-,-,3,121.9,1
27,0,0.00 ,0.00 ,-,0.00 ,-,-,3,121.9,1
26,0,0.00 ,0.00 ,-,0.00 ,-,-,3,121.9,1
25,3,0.66 ,0.23 ,0.44 ,0.16 ,0.61 ,2.1,0,121.9,1
24,3,0.86 ,0.20 ,0.35 ,0.13 ,0.51 ,2,0,121.9,1
23,3,0.90 ,0.15 ,0.25 ,0.09 ,0.42 ,1.8,0,121.9,1
22,3,0.68 ,0.12 ,0.30 ,0.07 ,0.48 ,1.8,0,121.9,1
21,3,0.99 ,0.09 ,0.18 ,0.05 ,0.32 ,1.7,0,121.9,1
20,2,0.59 ,0.07 ,0.44 ,0.05 ,0.62 ,1.4,0,121.9,1
19,2,0.88 ,0.06 ,0.42 ,0.04 ,0.60 ,1.4,0,121.9,1
18,2,0.80 ,0.05 ,0.61 ,0.04 ,0.78 ,1.6,0,121.9,1
17,2,0.70 ,0.04 ,0.70 ,0.03 ,0.84 ,1.7,0,121.9,1
16,2,0.81 ,0.04 ,0.46 ,0.03 ,0.63 ,1.5,0,121.9,1
15,1,0.51 ,0.05 ,1.00 ,0.05 ,1.00 ,1,0,121.9,1
14,1,0.73 ,0.02 ,0.89 ,0.02 ,1.00 ,0.9,0,121.9,1
