item_id,level,date,dzm,dzl,ddmz,dgl,stragety,group_num,dg_qty,xq_qty
6901028114455 ,八档,20170804 - 20170810,0.818181818,1,0.611111111,0.018151815,1,1212,22,36
6901028114455 ,七档,20170804 - 20170810,0.619047619,0.952380952,0.17699115,0.017312448,1,1213,20,113
6901028114455 ,六档,20170804 - 20170810,0.523809524,1,0.230769231,0.017326733,1,1212,21,91
6901028114455 ,五档,20170804 - 20170810,0.529411765,1,0.217948718,0.014026403,1,1212,17,78
6901028114455 ,四档,20170804 - 20170810,0.72,1,0.657894737,0.020610058,1,1213,25,38
6901028114455 ,三档,20170804 - 20170810,0.9,1,0.740740741,0.01650165,1,1212,20,27
6901028114455 ,二档,20170804 - 20170810,0.642857143,1,0.549019608,0.023083265,1,1213,28,51
6901028114455 ,一档,20170804 - 20170810,0.8125,1,0.842105263,0.01320132,1,1212,16,19
6901028114455 ,三十档,20170811 - 20170816,0.865168539,0.687265918,0.866587957,0.293729373,12,303,734,847
6901028114455 ,二十九档,20170811 - 20170816,0.936936937,0.58018018,0.929292929,0.366336634,10,303,644,693
6901028114455 ,二十八档,20170811 - 20170816,0.878378378,0.672297297,0.921296296,0.244224422,8,303,398,432
6901028114455 ,二十七档,20170811 - 20170816,0.974025974,0.390422078,0.985655738,0.208955224,8,737,481,488
6901028114455 ,二十六档,20170811 - 20170816,0.976744186,0.365310078,0.984334204,0.175271739,8,736,377,383
6901028114455 ,二十五档,20170811 - 20170816,0.966942149,0.429752066,0.962962963,0.164179104,6,737,312,324
6901028114455 ,二十四档,20170811 - 20170816,0.948453608,0.347079038,0.89380531,0.131793478,6,736,202,226
6901028114455 ,二十三档,20170811 - 20170816,0.991150442,0.355457227,0.995867769,0.153324288,6,737,241,242
6901028114455 ,二十二档,20170811 - 20170816,0.875,0.549479167,0.611594203,0.130434783,4,736,211,345
6901028114455 ,二十一档,20170811 - 20170816,0.888888889,0.536111111,0.742307692,0.122615804,4,734,193,260
6901028114455 ,二十档,20170811 - 20170816,0.951612903,0.495967742,0.78343949,0.102310231,4,1212,246,314
6901028114455 ,十九档,20170811 - 20170816,0.971153846,0.454326923,0.870967742,0.08573784,4,1213,189,217
6901028114455 ,十八档,20170811 - 20170816,0.91011236,0.786516854,0.714285714,0.073432343,2,1212,140,196
6901028114455 ,十七档,20170811 - 20170816,0.933333333,0.716666667,0.724719101,0.074196208,2,1213,129,178
6901028114455 ,十六档,20170811 - 20170816,0.913043478,0.710144928,0.590361446,0.056930693,2,1212,98,166
6901028114455 ,十五档,20170811 - 20170816,0.980769231,0.740384615,0.9625,0.04290429,2,1212,77,80
6901028114455 ,十四档,20170811 - 20170816,0.725490196,1,0.56043956,0.042044518,1,1213,51,91
6901028114455 ,十三档,20170811 - 20170816,0.82,1,0.324675325,0.041254125,1,1212,50,154
6901028114455 ,十二档,20170811 - 20170816,0.886363636,1,0.578947368,0.036273702,1,1213,44,76
6901028114455 ,十一档,20170811 - 20170816,0.710526316,0.973684211,0.26618705,0.031353135,1,1212,37,139
6901028114455 ,十档,20170811 - 20170816,0.681818182,1,0.186440678,0.018151815,1,1212,22,118
6901028114455 ,九档,20170811 - 20170816,0.454545455,1,0.105769231,0.009068425,1,1213,11,104
6901028114455 ,八档,20170811 - 20170816,0.761904762,1,0.21,0.017326733,1,1212,21,100
6901028114455 ,七档,20170811 - 20170816,0.6,1,0.108108108,0.016488046,1,1213,20,185
6901028114455 ,六档,20170811 - 20170816,0.5,1,0.484848485,0.01320132,1,1212,16,33
6901028114455 ,五档,20170811 - 20170816,0.631578947,1,0.122580645,0.015676568,1,1212,19,155
6901028114455 ,四档,20170811 - 20170816,0.5,1,0.144144144,0.013190437,1,1213,16,111
6901028114455 ,三档,20170811 - 20170816,0.666666667,1,0.529411765,0.014851485,1,1212,18,34
6901028114455 ,二档,20170811 - 20170816,0.555555556,1,0.409090909,0.029678483,1,1213,36,88
6901028114455 ,一档,20170811 - 20170816,0.625,1,0.561403509,0.02640264,1,1212,32,57
6901028114455 ,三十档,20170817 - 20170821,0.9,0.508571429,0.945132743,0.231023102,15,303,534,565
6901028114455 ,二十九档,20170817 - 20170821,0.92,0.751666667,0.846153846,0.247524752,8,303,451,533
6901028114455 ,二十八档,20170817 - 20170821,0.905405405,0.905405405,0.861182519,0.244224422,5,303,335,389
6901028114455 ,二十七档,20170817 - 20170821,0.972789116,0.673469388,0.908256881,0.199457259,5,737,495,545
6901028114455 ,二十六档,20170817 - 20170821,0.97761194,0.544776119,0.955497382,0.182065217,5,736,365,382
6901028114455 ,二十五档,20170817 - 20170821,0.971962617,0.626168224,0.967509025,0.145183175,4,737,268,277
6901028114455 ,二十四档,20170817 - 20170821,0.981308411,0.537383178,0.82437276,0.145380435,4,736,230,279
6901028114455 ,二十三档,20170817 - 20170821,0.968,0.562,0.952542373,0.169606513,4,737,281,295
6901028114455 ,二十二档,20170817 - 20170821,0.943396226,0.672955975,0.942731278,0.144021739,3,736,214,227
6901028114455 ,二十一档,20170817 - 20170821,0.978494624,0.663082437,0.915841584,0.126702997,3,734,185,202
6901028114455 ,二十档,20170817 - 20170821,0.924528302,0.663522013,0.913419913,0.087458746,3,1212,211,231
6901028114455 ,十九档,20170817 - 20170821,0.973214286,0.601190476,0.914027149,0.092333059,3,1213,202,221
6901028114455 ,十八档,20170817 - 20170821,0.9125,0.76875,0.86013986,0.066006601,2,1212,123,143
6901028114455 ,十七档,20170817 - 20170821,0.94047619,0.779761905,0.935714286,0.069249794,2,1213,131,140
6901028114455 ,十六档,20170817 - 20170821,0.916666667,0.75,0.9,0.059405941,2,1212,108,120
6901028114455 ,十五档,20170817 - 20170821,0.964912281,0.771929825,0.907216495,0.047029703,2,1212,88,97
6901028114455 ,十四档,20170817 - 20170821,0.692307692,1,0.353741497,0.04286892,1,1213,52,147
6901028114455 ,十三档,20170817 - 20170821,0.867924528,1,0.519607843,0.043729373,1,1212,53,102
